Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10n,C_0402_1005Metric,206.5,-129.75,-90.0,top
C2,10n,C_0402_1005Metric,238.0,-132.98,90.0,top
C3,10n,C_0402_1005Metric,225.5,-123.5,180.0,top
D1,BPW41N,DIO_BPW41N,204.5,-124.8475,90.0,top
D2,TSAL4400,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O3.81mm_Z4.9mm,204.3,-119.0,-90.0,top
D3,BPW41N,DIO_BPW41N,245.75,-125.6505,-90.0,top
D4,TSAL4400,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O3.81mm_Z4.9mm,244.0,-120.0,90.0,top
D5,BPW41N,DIO_BPW41N,225.1525,-119.5,0.0,top
D6,TSAL4400,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O3.81mm_Z4.9mm,218.75,-120.5,180.0,top
J1,Conn_02x14_Odd_Even,PinHeader_2x14_P1.00mm_Vertical,225.5,-147.75,90.0,top
JP1,SolderJumper_3_Open,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,209.5,-136.05,90.0,top
JP2,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,209.65,-126.125,0.0,top
JP3,SolderJumper_3_Open,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,214.75,-130.0,90.0,top
JP4,SolderJumper_3_Open,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,238.0,-139.5,180.0,top
JP5,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,238.0,-135.85,90.0,top
JP6,SolderJumper_3_Open,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,237.463795,-128.841204,90.0,top
JP7,SolderJumper_3_Open,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,230.5,-124.5,180.0,top
JP8,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,236.35,-120.0,0.0,top
JP9,SolderJumper_3_Open,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,223.8,-128.0,0.0,top
Q1,2N7002,SOT-23,214.4375,-136.5,180.0,top
Q2,2N7002,SOT-23,230.5,-135.5,0.0,top
Q3,2N7002,SOT-23,231.0625,-130.5,0.0,top
R1,100,R_0402_1005Metric,211.01,-142.0,90.0,top
R2,47k,R_0402_1005Metric,210.0,-131.75,90.0,top
R3,220k,R_0603_1608Metric,208.75,-144.5,-90.0,top
R4,15,R_0402_1005Metric,209.76,-128.75,0.0,top
R5,220k,R_0603_1608Metric,224.0,-132.5,180.0,top
R6,100,R_0402_1005Metric,215.49,-142.25,0.0,top
R7,47k,R_0402_1005Metric,217.5,-139.0,0.0,top
R8,15,R_0402_1005Metric,238.0,-124.0,0.0,top
R9,220k,R_0402_1005Metric,223.0,-124.0,0.0,top
R10,100,R_0402_1005Metric,221.01,-139.5,0.0,top
R11,47k,R_0402_1005Metric,230.0,-143.0,0.0,top
R12,15,R_0402_1005Metric,219.28,-126.84,0.0,top
TP1,TestPoint,TestPoint_Pad_D1.5mm,212.25,-118.5,0.0,top
TP2,TestPoint,TestPoint_Pad_D1.5mm,225.75,-138.0,0.0,top
TP3,TestPoint,TestPoint_Pad_D1.5mm,230.5,-120.0,0.0,top
U1,LM324DT,SOIC127P600X175-14N,238.25,-146.0,0.0,top
